epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.333,0.63934,1.19914,0.9775,0.60596,0.06009,0.04089,0.03298,1.13646,2.28606,1.28967,0.00328125,0.00328125,0.0704687
2,393.598,0.65652,1.17742,0.98372,0.33748,0.07353,0.05189,0.03816,1.20884,2.23852,1.37126,0.00595974,0.00595974,0.0398139
3,596.92,0.6962,1.22558,0.9899,0.27424,0.10994,0.07193,0.04733,1.33523,2.17657,1.43469,0.00797823,0.00797823,0.00849906
4,795.599,0.73713,1.28768,1.01361,0.31522,0.06428,0.03675,0.02733,1.34497,2.50133,1.40605,0.00703,0.00703,0.00703
5,984.969,0.72548,1.24147,1.00033,0.30434,0.10297,0.06778,0.04539,1.28071,2.14752,1.37976,0.00604,0.00604,0.00604
6,1171.46,0.69348,1.17042,0.98994,0.45613,0.09131,0.05992,0.04176,1.25445,2.25407,1.38733,0.00505,0.00505,0.00505
7,1360.54,0.65174,1.10314,0.97823,0.45343,0.07902,0.05599,0.03868,1.22926,2.46859,1.36345,0.00406,0.00406,0.00406
8,1566.76,0.6205,1.03108,0.96195,0.51753,0.05864,0.0399,0.02943,1.21733,2.44462,1.36391,0.00307,0.00307,0.00307
9,1760.19,0.58668,0.96221,0.9388,0.45547,0.08341,0.06301,0.04545,1.15054,2.53241,1.33206,0.00208,0.00208,0.00208
10,1951.99,0.56381,0.88879,0.93115,0.43421,0.0963,0.07022,0.05036,1.14354,2.36669,1.31921,0.00109,0.00109,0.00109
