epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4407,1.57576,3.87704,1.58599,0.14699,0.01748,0.00707,0.00545,1.23117,3.39392,1.40751,0.0009,0.0009,0.0919
2,101.899,1.38887,2.94785,1.50647,0.08063,0.14865,0.05228,0.03199,1.19565,3.23187,1.43589,0.00186238,0.00186238,0.0828624
3,146.868,1.2297,2.32602,1.41105,0.12669,0.17702,0.07513,0.04912,1.14941,2.69555,1.41034,0.00278516,0.00278516,0.0737852
4,193.463,1.13353,2.06329,1.33602,0.18454,0.21915,0.08973,0.0569,1.10908,2.77367,1.32044,0.00366834,0.00366834,0.0646683
5,238.326,1.11387,1.85673,1.30777,0.23909,0.28132,0.14677,0.09468,1.11757,2.47316,1.32717,0.00451192,0.00451192,0.0555119
6,282.686,1.03228,1.74366,1.23054,0.28421,0.29282,0.17672,0.11239,1.07704,2.24277,1.28266,0.0053159,0.0053159,0.0463159
7,327.621,0.99795,1.657,1.21649,0.27463,0.23771,0.1307,0.08447,1.07937,1.99771,1.28945,0.00608028,0.00608028,0.0370803
8,373.046,0.98333,1.63267,1.19348,0.33581,0.27407,0.18177,0.11781,1.09207,2.21407,1.28496,0.00680506,0.00680506,0.0278051
9,417.698,0.95311,1.53233,1.15982,0.26625,0.28188,0.13289,0.0889,1.08693,2.43468,1.26523,0.00749024,0.00749024,0.0184902
10,462.065,0.9917,1.40331,1.16135,0.26099,0.33587,0.16429,0.10946,1.09132,2.26533,1.25984,0.00813582,0.00813582,0.00913582
11,506.458,0.96979,1.32475,1.1461,0.25823,0.28255,0.15572,0.0984,1.15078,2.14863,1.30025,0.00802,0.00802,0.00802
12,551.594,0.95373,1.3123,1.14714,0.31687,0.23601,0.14344,0.08932,1.18271,2.16196,1.34523,0.007822,0.007822,0.007822
13,596.969,0.90934,1.2154,1.11629,0.17981,0.27736,0.12191,0.07491,1.24147,2.43718,1.39412,0.007624,0.007624,0.007624
14,642.249,0.93278,1.18957,1.12233,0.18546,0.25817,0.1177,0.07044,1.22668,2.373,1.37172,0.007426,0.007426,0.007426
15,687.12,0.9029,1.13214,1.08734,0.26381,0.27451,0.15262,0.09191,1.2674,2.22189,1.38684,0.007228,0.007228,0.007228
16,731.63,0.88495,1.08148,1.09481,0.24192,0.24834,0.12482,0.08055,1.24817,2.33837,1.38981,0.00703,0.00703,0.00703
17,777.209,0.85571,1.03847,1.07891,0.25796,0.28386,0.16792,0.10636,1.23267,2.01382,1.34892,0.006832,0.006832,0.006832
18,822.642,0.86918,1.00092,1.08453,0.2839,0.2547,0.16543,0.09994,1.30161,2.17043,1.40762,0.006634,0.006634,0.006634
19,868.328,0.8499,0.99002,1.05884,0.23475,0.30501,0.15569,0.09191,1.28964,2.05543,1.39102,0.006436,0.006436,0.006436
20,913.531,0.82505,0.95838,1.05063,0.25028,0.26214,0.13534,0.08404,1.23063,2.09087,1.38611,0.006238,0.006238,0.006238
21,958.34,0.81881,0.89381,1.03507,0.24926,0.24424,0.13724,0.0854,1.2789,2.14531,1.4171,0.00604,0.00604,0.00604
22,1003.39,0.80205,0.86646,1.0315,0.282,0.22942,0.13514,0.08528,1.29415,2.19218,1.42601,0.005842,0.005842,0.005842
23,1048.1,0.79146,0.8261,1.01845,0.23427,0.26432,0.14407,0.09173,1.23921,2.17035,1.39022,0.005644,0.005644,0.005644
24,1092.44,0.78566,0.80245,1.02188,0.39441,0.18401,0.12342,0.07972,1.23374,2.24771,1.36732,0.005446,0.005446,0.005446
25,1137.23,0.78865,0.77465,1.01604,0.3567,0.21095,0.1245,0.08105,1.22556,2.17879,1.36559,0.005248,0.005248,0.005248
26,1182.45,0.76863,0.74428,1.00305,0.32463,0.2427,0.14196,0.09155,1.20859,2.09986,1.35353,0.00505,0.00505,0.00505
27,1226.45,0.74477,0.73393,0.99983,0.35253,0.22956,0.14788,0.09466,1.19662,2.10265,1.36164,0.004852,0.004852,0.004852
28,1270.91,0.7368,0.71639,0.99055,0.38461,0.18943,0.12639,0.07579,1.23073,2.31373,1.3854,0.004654,0.004654,0.004654
